ts_event,symbol,open,high,low,close,volume
2016-10-16 00:00:00+00:00,NG.c.0,3260000000.0,3260000000.0,3237000000.0,3245000000.0,1740
2016-10-16 00:00:00+00:00,HG.c.0,2099500000.0,2099500000.0,2097500000.0000002,2097500000.0000002,2
2016-10-16 00:00:00+00:00,SI.c.0,17415000000.0,17415000000.0,17415000000.0,17415000000.0,1
2016-10-16 00:00:00+00:00,GC.c.1,1250500000000.0,1251100000000.0,1249800000000.0,1251100000000.0,7
2016-10-16 00:00:00+00:00,SI.c.1,17420000000.0,17420000000.0,17415000000.0,17415000000.0,2
2016-10-16 00:00:00+00:00,CL.c.1,50650000000.0,50690000000.0,50460000000.0,50510000000.0,1162
2016-10-17 00:00:00+00:00,GC.c.1,1251000000000.0,1256100000000.0,1250000000000.0,1255100000000.0,103
2016-10-17 00:00:00+00:00,ZC.c.1,362500000000.0,367250000000.0,360000000000.0,364500000000.0,24960
2016-10-17 00:00:00+00:00,NG.c.0,3245000000.0,3271000000.0,3211000000.0,3253000000.0,65541
2016-10-17 00:00:00+00:00,ZW.c.0,418250000000.0,425750000000.0,416000000000.0,423250000000.0,54663
2016-10-17 00:00:00+00:00,ZC.c.0,353000000000.0,357750000000.0,350250000000.0,354500000000.0,115939
2016-10-17 00:00:00+00:00,SI.c.1,17410000000.0,17455000000.0,17345000000.0,17425000000.0,48
2016-10-17 00:00:00+00:00,GC.c.0,1249900000000.0,1255000000000.0,1249900000000.0,1255000000000.0,13
2016-10-17 00:00:00+00:00,HG.c.1,2105999999.9999998,2110500000.0,2101500000.0000002,2102500000.0,32
2016-10-17 00:00:00+00:00,NG.c.1,3479000000.0,3506000000.0,3448000000.0,3496000000.0,27924
2016-10-17 00:00:00+00:00,CL.c.0,50090000000.0,50580000000.0,49470000000.0,50120000000.0,276532
2016-10-17 00:00:00+00:00,HG.c.0,2105000000.0,2105000000.0,2096000000.0,2097500000.0000002,17
2016-10-17 00:00:00+00:00,ZW.c.1,437000000000.0,443500000000.0,434500000000.0,441000000000.0,7982
2016-10-17 00:00:00+00:00,CL.c.1,50520000000.0,51000000000.0,49900000000.0,50520000000.0,150906
2016-10-18 00:00:00+00:00,ZC.c.1,363750000000.0,367250000000.0,361250000000.0,363000000000.0,17736
2016-10-18 00:00:00+00:00,GC.c.1,1255700000000.0,1263300000000.0,1255100000000.0,1262400000000.0,377
2016-10-18 00:00:00+00:00,SI.c.1,17585000000.0,17680000000.0,17500000000.0,17585000000.0,28
2016-10-18 00:00:00+00:00,ZC.c.0,354250000000.0,357500000000.0,351500000000.0,353500000000.0,110767
2016-10-18 00:00:00+00:00,ZW.c.0,425000000000.0,425500000000.0,418250000000.0,419250000000.0,43343
2016-10-18 00:00:00+00:00,GC.c.0,1260900000000.0,1261700000000.0,1260900000000.0,1261700000000.0,6
2016-10-18 00:00:00+00:00,SI.c.0,17650000000.0,17650000000.0,17495000000.0,17600000000.0,24
2016-10-18 00:00:00+00:00,HG.c.1,2105000000.0,2109999999.9999998,2101000000.0,2101500000.0000002,82
2016-10-18 00:00:00+00:00,NG.c.1,3496000000.0,3546000000.0,3482000000.0,3488000000.0,25812
2016-10-18 00:00:00+00:00,NG.c.0,3252000000.0,3317000000.0,3241000000.0,3247000000.0,65413
2016-10-18 00:00:00+00:00,CL.c.0,50120000000.0,50870000000.0,49760000000.0,50790000000.0,103203
2016-10-18 00:00:00+00:00,HG.c.0,2108499999.9999998,2108499999.9999998,2097999999.9999998,2097999999.9999998,14
2016-10-18 00:00:00+00:00,ZW.c.1,442500000000.0,443750000000.0,436750000000.0,439000000000.0,5997
2016-10-18 00:00:00+00:00,CL.c.1,50530000000.0,51200000000.0,50130000000.0,51110000000.0,246680
2016-10-19 00:00:00+00:00,ZC.c.1,363000000000.0,368000000000.0,360750000000.0,367750000000.0,18072
2016-10-19 00:00:00+00:00,GC.c.1,1263000000000.0,1272100000000.0,1260000000000.0,1269900000000.0,571
2016-10-19 00:00:00+00:00,SI.c.1,17670000000.0,17685000000.0,17555000000.0,17680000000.0,9
2016-10-19 00:00:00+00:00,ZW.c.0,420500000000.0,422250000000.0,413000000000.0,421000000000.0,45978
2016-10-19 00:00:00+00:00,GC.c.0,1262900000000.0,1271500000000.0,1262900000000.0,1269200000000.0,21
2016-10-19 00:00:00+00:00,SI.c.0,17710000000.0,17710000000.0,17655000000.0,17675000000.0,10
2016-10-19 00:00:00+00:00,HG.c.1,2096499999.9999998,2104499999.9999998,2088000000.0,2099500000.0,86
2016-10-19 00:00:00+00:00,ZC.c.0,353500000000.0,358000000000.0,351000000000.0,358000000000.0,121348
2016-10-19 00:00:00+00:00,NG.c.1,3488000000.0,3500000000.0,3414000000.0,3434000000.0,36789
2016-10-19 00:00:00+00:00,NG.c.0,3247000000.0,3259000000.0,3144000000.0,3174000000.0,85510
2016-10-19 00:00:00+00:00,CL.c.0,50810000000.0,51930000000.0,50690000000.0,51460000000.0,41992
2016-10-19 00:00:00+00:00,HG.c.0,2097999999.9999998,2100000000.0,2083500000.0,2096499999.9999998,11
2016-10-19 00:00:00+00:00,ZW.c.1,440250000000.0,442500000000.0,433000000000.0,441500000000.0,8553
2016-10-19 00:00:00+00:00,CL.c.1,51120000000.0,52220000000.0,51010000000.0,51750000000.0,441524
2016-10-20 00:00:00+00:00,ZC.c.1,367000000000.0,369000000000.0,359000000000.0,360500000000.0,19792
2016-10-20 00:00:00+00:00,SI.c.1,17660000000.0,17690000000.0,17425000000.0,17495000000.0,33
2016-10-20 00:00:00+00:00,GC.c.1,1267900000000.0,1274200000000.0,1264400000000.0,1265500000000.0,322
2016-10-20 00:00:00+00:00,ZW.c.0,419500000000.0,422750000000.0,415250000000.0,415750000000.0,39015
2016-10-20 00:00:00+00:00,GC.c.0,1270000000000.0,1270500000000.0,1265500000000.0,1266000000000.0,4
2016-10-20 00:00:00+00:00,SI.c.0,17670000000.0,17670000000.0,17425000000.0,17425000000.0,8
2016-10-20 00:00:00+00:00,HG.c.1,2100499999.9999998,2108000000.0,2082500000.0,2092000000.0,39
2016-10-20 00:00:00+00:00,ZC.c.0,357500000000.0,359250000000.0,349250000000.0,350750000000.0,136992
2016-10-20 00:00:00+00:00,NG.c.1,3437000000.0,3466000000.0,3388000000.0,3424000000.0,41162
2016-10-20 00:00:00+00:00,NG.c.0,3176000000.0,3201000000.0,3081000000.0,3104000000.0,102446
2016-10-20 00:00:00+00:00,CL.c.0,51490000000.0,51580000000.0,50250000000.0,50310000000.0,7523
2016-10-20 00:00:00+00:00,HG.c.0,2080000000.0,2091000000.0000002,2080000000.0,2091000000.0000002,4
2016-10-20 00:00:00+00:00,ZW.c.1,440000000000.0,442750000000.0,436000000000.0,436000000000.0,6035
2016-10-20 00:00:00+00:00,CL.c.1,51740000000.0,51830000000.0,50440000000.0,50680000000.0,384414
2016-10-21 00:00:00+00:00,CL.c.1,51160000000.0,51570000000.0,50780000000.0,51570000000.0,26889
2016-10-21 00:00:00+00:00,ZC.c.1,360750000000.0,363500000000.0,360000000000.0,362000000000.0,14699
2016-10-21 00:00:00+00:00,GC.c.1,1263400000000.0,1267200000000.0,1261000000000.0,1266000000000.0,258
2016-10-21 00:00:00+00:00,ZC.c.0,351250000000.0,354250000000.0,350500000000.0,352250000000.0,68466
2016-10-21 00:00:00+00:00,SI.c.1,17405000000.0,17510000000.0,17370000000.0,17510000000.0,15
2016-10-21 00:00:00+00:00,HG.c.1,2087000000.0000002,2092499999.9999998,2085000000.0,2086500000.0,55
2016-10-21 00:00:00+00:00,NG.c.1,3422000000.0,3425000000.0,3337000000.0,3337000000.0,52557
2016-10-21 00:00:00+00:00,NG.c.0,3104000000.0,3111000000.0,2955000000.0,2961000000.0,100633
2016-10-21 00:00:00+00:00,HG.c.0,2090500000.0,2091500000.0,2084000000.0,2084000000.0,3
2016-10-21 00:00:00+00:00,ZW.c.1,437500000000.0,438250000000.0,433750000000.0,435000000000.0,4862
